Mine ID,Operator,Mine Name,Type,Status,State,County,Primary Canvass Code,Commodity
1515541,Smith Coal Company,#1 Job,Surface,Abandoned,Kentucky,Perry,Coal (Bituminous and Lignite),Coal (Bituminous)
1515542,D & C Coal Company,No 1 Strip,Surface,Abandoned,Kentucky,Bell,Coal (Bituminous and Lignite),Coal (Bituminous)
1515543,Kinney Branch Coal Company Inc,No 1,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515544,Michael D Mining Company Inc,No 1,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515545,Lick Creek Coal Company,Lick Creek Mine,Surface,Abandoned,Kentucky,Hopkins,Coal (Bituminous and Lignite),Coal (Bituminous)
1515546,Ball Branch Mining Inc,#2 Prep Plant,Facility,Abandoned,Kentucky,Breathitt,Coal (Bituminous and Lignite),Coal (Bituminous)
1515547,Magnet Coal Inc,No 1 Surface,Surface,Abandoned,Kentucky,Morgan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515548,B B W Coal Inc,No1,Surface,Abandoned,Kentucky,Lee,Coal (Bituminous and Lignite),Coal (Bituminous)
1515549,Shamrock Coal Company Inc,Greenwood #10,Underground,AbandonedSealed,Kentucky,Wayne,Coal (Bituminous and Lignite),Coal (Bituminous)
1515550,Minton Hickory Coal Company,Mine #1,Underground,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515551,C & C Construction Company,No 1 Surface,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515552,Tri-Star Mining Company Inc,No 5,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515553,Ramblin Coal Company Inc,No 3,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515554,F & J Construction Company,No 1,Surface,AbandonedSealed,Kentucky,Laurel,Coal (Bituminous and Lignite),Coal (Bituminous)
1515555,Bilfred Coal Company Inc,No 1 Strip,Surface,AbandonedSealed,Kentucky,Laurel,Coal (Bituminous and Lignite),Coal (Bituminous)
1515556,S & T Contractors,No 1,Surface,Abandoned,Kentucky,Leslie,Coal (Bituminous and Lignite),Coal (Bituminous)
1515557,Hang On Buddy Inc,Mine #1,Underground,AbandonedSealed,Kentucky,Perry,Coal (Bituminous and Lignite),Coal (Bituminous)
1515558,Golden Oak Mining Company L P,Golden Oak #4,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515559,R & B Coal Tipple,No 1 Tipple,Facility,Abandoned,Kentucky,Whitley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515560,Big Elk Creek Coal Company Inc,Defeated Creek Job,Surface,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515562,Stephen Elkhorn Inc,No 1,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515563,Ruby Coal Company,No 1 Owsley,Surface,Abandoned,Kentucky,Owsley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515564,Lucretius Coal Corp,No 1,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515565,B & B Coal Company,No 2 Mine,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515567,Black Magic Mining,Copperhead #1,Surface,AbandonedSealed,Kentucky,Whitley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515568,H B & S Coal Inc,No1,Surface,Abandoned,Kentucky,Owsley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515569,Amber Coal Company Inc,No 7-A,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515570,Russell Centers,No1 Surface,Surface,Abandoned,Kentucky,Wolfe,Coal (Bituminous and Lignite),Coal (Bituminous)
1515571,Mountain Spirit Coal Company,No 1 Mine,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515573,K & W Coal Company,No 1 Mine,Underground,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515574,M & F Coal Company,#2,Underground,AbandonedSealed,Kentucky,Whitley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515575,Kyco Coal Company Inc,No 1,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515576,Letchco Fuel Corp,#1 Tipple,Facility,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515577,N & S Coal Inc,#1,Underground,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515578,M & N Coal Company,M & N Coal Co,Surface,Abandoned,Kentucky,Perry,Coal (Bituminous and Lignite),Coal (Bituminous)
1515579,Pa-Pa Coal Company Inc,Mine No 2,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515580,Rocky Branch Coal Company,No Rb #1,Underground,AbandonedSealed,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515581,James Miniard Coal Company,No 1,Underground,AbandonedSealed,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515582,Double L Coal Company,No 1,Underground,Abandoned,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515583,Rocky Branch Coal Inc,No 1 Mine,Surface,Abandoned,Kentucky,Morgan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515584,Prince Construction,No 1 Surface,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
